
Total mac address : 1520

Mac address      Vlan  Type      Port	                  Vc                      
F8:64:B8:EF:88:63   100   Dynamic   gpon-onu_1/3/5:5         vport 1  
5C:3A:3D:E7:9C:B6   100   Dynamic   gpon-onu_1/3/5:6         vport 1  
DC:F8:B9:EC:92:55   100   Dynamic   gpon-onu_1/3/5:7         vport 1  
34:24:3E:25:DB:C4   100   Dynamic   gpon-onu_1/3/5:8         vport 1  
08:F6:06:A1:8F:36   100   Dynamic   gpon-onu_1/3/5:9         vport 1  
F4:2D:06:C6:B7:B4   100   Dynamic   gpon-onu_1/3/5:10        vport 1  
D4:7E:A8:59:A1:B9   100   Dynamic   gpon-onu_1/3/5:12        vport 1  
C8:75:F4:DC:D9:39   100   Dynamic   gpon-onu_1/3/5:13        vport 1  
B4:E4:6B:5F:D3:AC   100   Dynamic   gpon-onu_1/3/5:14        vport 1  
B4:E4:6B:89:23:8B   100   Dynamic   gpon-onu_1/3/5:15        vport 1  
E0:19:54:E3:6E:FA   100   Dynamic   gpon-onu_1/3/5:17        vport 1  
A8:74:84:C1:48:98   100   Dynamic   gpon-onu_1/3/5:18        vport 1  
E0:19:54:E4:87:AA   100   Dynamic   gpon-onu_1/3/5:19        vport 1  
E0:19:54:E4:87:AB   100   Dynamic   gpon-onu_1/3/5:19        vport 1  
28:FF:3E:75:9D:4E   100   Dynamic   gpon-onu_1/3/5:20        vport 1  
F8:6C:E1:62:3B:B0   100   Dynamic   gpon-onu_1/3/5:20        vport 1  
98:00:6A:80:65:D6   100   Dynamic   gpon-onu_1/3/5:21        vport 1  
5C:3A:3D:E7:E2:35   100   Dynamic   gpon-onu_1/3/5:22        vport 1  
DC:F8:B9:E4:2C:A7   100   Dynamic   gpon-onu_1/3/5:23        vport 1  
98:00:6A:8C:9C:A2   100   Dynamic   gpon-onu_1/3/5:24        vport 1  
34:36:54:AF:26:66   100   Dynamic   gpon-onu_1/3/5:25        vport 1  
34:36:54:B0:4C:00   100   Dynamic   gpon-onu_1/3/5:26        vport 1  
28:77:77:4B:99:EC   100   Dynamic   gpon-onu_1/3/5:27        vport 1  
FC:40:09:F1:DE:E2   100   Dynamic   gpon-onu_1/3/5:28        vport 1  
28:77:77:4C:04:5A   100   Dynamic   gpon-onu_1/3/5:29        vport 1  
B0:8B:92:B8:A8:76   100   Dynamic   gpon-onu_1/3/5:30        vport 1  
94:B2:71:E3:6B:60   100   Dynamic   gpon-onu_1/3/5:31        vport 1  
F8:6C:E1:69:19:E4   100   Dynamic   gpon-onu_1/3/5:32        vport 1  
F8:64:B8:F0:87:8A   100   Dynamic   gpon-onu_1/3/5:33        vport 1  
F8:64:B8:A8:36:52   100   Dynamic   gpon-onu_1/3/5:34        vport 1  
F8:64:B8:A9:32:2E   100   Dynamic   gpon-onu_1/3/5:35        vport 1  
A8:74:84:C8:1D:1C   100   Dynamic   gpon-onu_1/3/5:36        vport 1  
A8:74:84:C9:1B:E0   100   Dynamic   gpon-onu_1/3/5:37        vport 1  
FC:40:09:01:20:A8   100   Dynamic   gpon-onu_1/3/5:38        vport 1  
E0:19:54:E4:86:66   100   Dynamic   gpon-onu_1/3/5:39        vport 1  
E0:19:54:FB:3B:8F   100   Dynamic   gpon-onu_1/3/5:40        vport 1  
BC:BD:84:1D:53:0C   100   Dynamic   gpon-onu_1/3/5:41        vport 1  
08:F6:06:A0:39:AE   100   Dynamic   gpon-onu_1/3/5:42        vport 1  
BC:BD:84:1D:53:12   100   Dynamic   gpon-onu_1/3/5:43        vport 1  
B4:E4:6B:64:47:26   100   Dynamic   gpon-onu_1/3/5:44        vport 1  
F8:6C:E1:6F:02:45   100   Dynamic   gpon-onu_1/3/5:45        vport 1  
B4:E4:6B:8B:2F:4F   100   Dynamic   gpon-onu_1/3/5:46        vport 1  
48:B2:5D:48:32:B9   100   Dynamic   gpon-onu_1/3/5:47        vport 1  
F8:64:B8:A8:2D:A6   100   Dynamic   gpon-onu_1/3/5:48        vport 1  
A8:74:84:C9:33:20   100   Dynamic   gpon-onu_1/3/5:49        vport 1  
E0:19:54:FD:48:DD   100   Dynamic   gpon-onu_1/3/5:50        vport 1  
98:00:6A:84:C3:0E   100   Dynamic   gpon-onu_1/3/5:51        vport 1  
C0:94:AD:22:74:F6   100   Dynamic   gpon-onu_1/3/5:52        vport 1  
A4:BD:C4:D5:47:E0   100   Dynamic   gpon-onu_1/3/5:53        vport 1  
30:C5:0F:BC:9B:FB   100   Dynamic   gpon-onu_1/3/5:54        vport 1  
B4:E4:6B:8F:E6:D0   100   Dynamic   gpon-onu_1/3/6:1         vport 1  
B4:E4:6B:7A:C0:78   100   Dynamic   gpon-onu_1/3/6:2         vport 1  
D4:7E:A8:C1:3A:8B   100   Dynamic   gpon-onu_1/3/6:3         vport 1  
F8:6C:E1:69:4E:11   100   Dynamic   gpon-onu_1/3/6:4         vport 1  
F8:6C:E1:80:85:B6   100   Dynamic   gpon-onu_1/3/6:5         vport 1  
F8:6C:E1:88:93:58   100   Dynamic   gpon-onu_1/3/6:6         vport 1  
10:8F:FE:62:2E:39   100   Dynamic   gpon-onu_1/3/6:7         vport 1  
50:70:97:5A:91:CA   100   Dynamic   gpon-onu_1/3/6:8         vport 1  
FC:8E:5B:46:2E:1A   100   Dynamic   gpon-onu_1/3/6:9         vport 1  
FC:40:09:01:33:DA   100   Dynamic   gpon-onu_1/3/6:10        vport 1  
5C:3A:3D:F7:27:56   100   Dynamic   gpon-onu_1/3/6:11        vport 1  
28:FF:3E:74:1A:06   100   Dynamic   gpon-onu_1/3/6:12        vport 1  
5C:3A:3D:F6:79:9E   100   Dynamic   gpon-onu_1/3/6:13        vport 1  
DC:F8:B9:EC:E5:5F   100   Dynamic   gpon-onu_1/3/6:14        vport 1  
98:00:6A:8C:75:2A   100   Dynamic   gpon-onu_1/3/6:15        vport 1  
34:36:54:AF:9C:92   100   Dynamic   gpon-onu_1/3/6:16        vport 1  
FC:40:09:F0:31:D6   100   Dynamic   gpon-onu_1/3/6:17        vport 1  
FC:40:09:F0:72:08   100   Dynamic   gpon-onu_1/3/6:19        vport 1  
14:79:F3:3B:DB:61   100   Dynamic   gpon-onu_1/3/6:20        vport 1  
B4:E4:6B:6B:8D:17   100   Dynamic   gpon-onu_1/3/6:21        vport 1  
94:FF:61:05:EE:BE   100   Dynamic   gpon-onu_1/3/6:22        vport 1  
B4:E4:6B:7C:F3:62   100   Dynamic   gpon-onu_1/3/6:23        vport 1  
F8:6C:E1:8F:83:D8   100   Dynamic   gpon-onu_1/3/6:24        vport 1  
68:81:E0:65:74:68   100   Dynamic   gpon-onu_1/3/6:25        vport 1  
9A:8C:1A:79:AD:52   100   Dynamic   gpon-onu_1/3/6:26        vport 1  
FC:40:09:01:3D:D6   100   Dynamic   gpon-onu_1/3/6:26        vport 1  
F8:64:B8:ED:B1:75   100   Dynamic   gpon-onu_1/3/6:27        vport 1  
A8:74:84:C8:AA:0A   100   Dynamic   gpon-onu_1/3/6:28        vport 1  
D8:E8:44:04:6F:06   100   Dynamic   gpon-onu_1/3/6:30        vport 1  
28:77:77:4B:CB:18   100   Dynamic   gpon-onu_1/3/6:31        vport 1  
5C:3A:3D:EF:3E:A4   100   Dynamic   gpon-onu_1/3/6:31        vport 1  
F4:2D:06:C6:E3:B8   100   Dynamic   gpon-onu_1/3/6:32        vport 1  
B4:E4:6B:6B:EC:5C   100   Dynamic   gpon-onu_1/3/6:33        vport 1  
D4:7E:A8:F5:9C:3D   100   Dynamic   gpon-onu_1/3/6:34        vport 1  
B4:E4:6B:5D:9D:BD   100   Dynamic   gpon-onu_1/3/6:35        vport 1  
B4:E4:6B:80:8F:21   100   Dynamic   gpon-onu_1/3/6:36        vport 1  
B4:E4:6B:81:65:ED   100   Dynamic   gpon-onu_1/3/6:37        vport 1  
B4:E4:6B:82:1C:93   100   Dynamic   gpon-onu_1/3/6:38        vport 1  
B4:E4:6B:82:B7:6B   100   Dynamic   gpon-onu_1/3/6:39        vport 1  
F8:6C:E1:60:B9:E4   100   Dynamic   gpon-onu_1/3/6:40        vport 1  
B4:E4:6B:88:68:1F   100   Dynamic   gpon-onu_1/3/6:41        vport 1  
E4:82:10:E0:4C:71   100   Dynamic   gpon-onu_1/3/6:42        vport 1  
F8:64:B8:F0:49:38   100   Dynamic   gpon-onu_1/3/6:43        vport 1  
EC:82:63:59:31:A1   100   Dynamic   gpon-onu_1/3/6:44        vport 1  
5C:3A:3D:F0:9C:5A   100   Dynamic   gpon-onu_1/3/6:45        vport 1  
98:00:6A:8A:81:FE   100   Dynamic   gpon-onu_1/3/6:46        vport 1  
FC:40:09:03:D8:2A   100   Dynamic   gpon-onu_1/3/6:47        vport 1  
34:24:3E:24:7D:42   100   Dynamic   gpon-onu_1/3/6:48        vport 1  
F4:2D:06:C6:B8:9E   100   Dynamic   gpon-onu_1/3/6:49        vport 1  
30:40:74:91:36:86   100   Dynamic   gpon-onu_1/3/6:50        vport 1  
14:79:F3:09:FB:B1   100   Dynamic   gpon-onu_1/3/6:51        vport 1  
D4:7E:A8:2A:3E:D1   100   Dynamic   gpon-onu_1/3/6:52        vport 1  
94:FF:61:C1:48:B3   100   Dynamic   gpon-onu_1/3/6:53        vport 1  
B4:E4:6B:5D:19:97   100   Dynamic   gpon-onu_1/3/6:54        vport 1  
24:91:BB:E5:1D:BD   100   Dynamic   gpon-onu_1/3/6:56        vport 1  
2C:97:B1:8D:37:46   100   Dynamic   gpon-onu_1/3/6:57        vport 1  
9A:8C:1A:A6:D1:C8   100   Dynamic   gpon-onu_1/3/6:58        vport 1  
F8:64:B8:ED:E0:DF   100   Dynamic   gpon-onu_1/3/6:59        vport 1  
A8:74:84:C0:AC:80   100   Dynamic   gpon-onu_1/3/6:60        vport 1  
98:00:6A:80:FF:42   100   Dynamic   gpon-onu_1/3/6:61        vport 1  
98:00:6A:81:1E:D4   100   Dynamic   gpon-onu_1/3/6:62        vport 1  
5C:3A:3D:F0:2E:44   100   Dynamic   gpon-onu_1/3/6:63        vport 1  
FC:40:09:FA:44:A7   100   Dynamic   gpon-onu_1/3/6:64        vport 1  
A4:F3:3B:7B:F2:C3   100   Dynamic   gpon-onu_1/3/6:65        vport 1  
BC:BD:84:1D:53:2A   100   Dynamic   gpon-onu_1/3/6:66        vport 1  
F8:6C:E1:63:56:C5   100   Dynamic   gpon-onu_1/3/6:67        vport 1  
B4:E4:6B:8B:11:84   100   Dynamic   gpon-onu_1/3/6:68        vport 1  
B4:E4:6B:77:9D:69   100   Dynamic   gpon-onu_1/3/6:69        vport 1  
F8:6C:E1:71:66:63   100   Dynamic   gpon-onu_1/3/6:70        vport 1  
F8:6C:E1:76:5F:7A   100   Dynamic   gpon-onu_1/3/6:71        vport 1  
08:9A:C7:9F:12:BE   100   Dynamic   gpon-onu_1/3/6:72        vport 1  
98:00:6A:89:E8:68   100   Dynamic   gpon-onu_1/3/6:73        vport 1  
34:36:54:B0:C9:DC   100   Dynamic   gpon-onu_1/3/6:74        vport 1  
F4:2D:06:C6:E3:82   100   Dynamic   gpon-onu_1/3/6:75        vport 1  
